TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | An African wild dog species, painted coat in black, tan, and white patches. | species:canid
tail_through_skirt | A tail through skirt feature, the tail-related detail as the noted anatomy element. | clothing:general
tail_tied | A tail tied feature, the tail-related detail as the noted anatomy element. | anatomy:tail
tail_under_skirt | A tail under skirt feature, the tail-related detail as the noted anatomy element. | clothing:general
tail_wrap | A tail wrap feature, the tail-related detail as the noted anatomy element. | anatomy:tail
tail_wraps | A tail wraps feature, the tail-related detail as the noted anatomy element. | anatomy:tail
tailband | Band worn around tail, the tailband as the noted anatomy or body feature. | anatomy:tail
tailbutt | Tail-and-butt area, the tailbutt as the noted anatomy or body feature. | anatomy:rear
tailcoat | Tailcoat, the tailcoat as the noted anatomy or body feature. | clothing:general
tailed_humanoid | A humanoid character with a tail, the tail the only non-human feature or one of few. | species:other
tailless | Character without a tail, the tailless as the noted anatomy or body feature. | anatomy:tail
talking_feral | A feral character who speaks in the scene, animal body but language ability. | species:other
tall_female | Female character notably taller than average, often paired with longer limbs and a dominant stature. | body_type
tan_balls | Testicles rendered in tan, the colour the noted variant. | genitalia:male
tan_breasts | Tan-coloured breasts on the character, the colour the noted variant feature. | anatomy:torso
tan_chest | Tan-coloured chest on the character, the colour the noted variant feature. | anatomy:torso
tan_clothing | Tan-coloured clothing on the character, the colour the noted variant feature. | clothing:general
tan_feathers | Tan feathers covering the avian body, tan plumage the noted variant. | coat:colour
tan_horn | Tan-coloured horn on the character, the colour the noted variant feature. | head:general
tan_nipples | Tan-coloured nipples on the character, the colour the noted variant feature. | anatomy:torso
tan_penis | A penis rendered in tan, the colour the noted variant. | genitalia:male
tan_scales | Tan scales covering the reptilian or draconic body, tan scaled colour the variant. | coat:colour
tan_sheath | A genital sheath rendered in tan, the colour the noted variant. | genitalia:male
tan_skin | Tan skin tone on the visible body, sun-warmed colouration the noted feature. | coat:colour
tan_tail | Tan-coloured tail on the character, the colour the noted variant feature. | anatomy:tail
tan_tail_tip | Tan-coloured tail tip on the character, the colour the noted variant feature. | anatomy:tail
tan_vulva | A vulva rendered in tan, the colour the noted variant. | genitalia:female
tapering_tail | A tapering-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
tapir_tail | A tapir-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
tassel | Tassel, the tassel as the noted anatomy or body feature. | clothing:general
tassel_earrings | Tassel earrings, the tassel earrings as the noted anatomy or body feature. | clothing:general
tassel_hair_ornament | Tassel hair ornament, the tassel hair ornament as the noted anatomy or body feature. | clothing:general
tassels | Tassels, the tassels as the noted anatomy or body feature. | clothing:general
teal_clothing | Teal-coloured clothing, the teal clothing as the noted anatomy or body feature. | clothing:general
tearing_clothing | Tearing clothing, the tearing clothing as the noted anatomy or body feature. | clothing:general
teeth_hold | Teeth hold, the teeth hold as the noted anatomy or body feature. | head:mouth
teeth_showing | Teeth showing, the teeth showing as the noted anatomy or body feature. | head:mouth
testicle_cuff | A cuff fastened around testicles, restraint focused on the sack. | genitalia:male
testicle_grab | A hand gripping testicles, squeezing or holding the sack. | genitalia:male
text_on_clothing | Text on clothing, the text on clothing as the noted anatomy or body feature. | clothing:general
these_aren't_my_glasses | These aren't my glasses, the these aren't my glasses as the noted anatomy or body feature. | clothing:general
thick_chest_hair | Thick chest hair across the torso, the dense body hair the feature. | hair:colour
thigh_belt | Thigh belt, the thigh belt as the noted anatomy or body feature. | clothing:general
thigh_boots | Thigh boots, the thigh boots as the noted anatomy or body feature. | clothing:general
thigh_cutout | Thigh cutout, the thigh cutout as the noted anatomy or body feature. | anatomy:limbs
thigh_focus | Thigh focus, the thigh focus as the noted anatomy or body feature. | anatomy:limbs
thigh_gap | Thigh gap, the thigh gap as the noted anatomy or body feature. | anatomy:limbs
thigh_highs_only | Thigh highs only, the thigh highs only as the noted anatomy or body feature. | anatomy:limbs
thigh_holster | Thigh holster, the thigh holster as the noted anatomy or body feature. | anatomy:limbs
thigh_pouch | Thigh pouch, the thigh pouch as the noted anatomy or body feature. | anatomy:limbs
thigh_ribbon | Thigh ribbon, the thigh ribbon as the noted anatomy or body feature. | anatomy:limbs
thigh_socks | Thigh socks, the thigh socks as the noted anatomy or body feature. | clothing:general
thigh_squish | Thigh squish, the thigh squish as the noted anatomy or body feature. | anatomy:limbs
thigh_strap | Thigh strap, the thigh strap as the noted anatomy or body feature. | anatomy:limbs
thigh_tattoo | Thigh tattoo, the thigh tattoo as the noted anatomy or body feature. | anatomy:limbs
thigh_tuft | Thigh tuft, the thigh tuft as the noted anatomy or body feature. | anatomy:limbs
thighband | Thighband, the thighband as the noted anatomy or body feature. | clothing:general
thighband_pantyhose | Thighband pantyhose, the thighband pantyhose as the noted anatomy or body feature. | clothing:general
thighhighs | Thighhighs, the thighhighs as the noted anatomy or body feature. | clothing:general
thighhighs_over_pantyhose | Thighhighs over pantyhose, the thighhighs over pantyhose as the noted anatomy or body feature. | clothing:general
thighhighs_pull | Thighhighs pull, the thighhighs pull as the noted anatomy or body feature. | clothing:general
thighhighs_under_boots | Thighhighs under boots, the thighhighs under boots as the noted anatomy or body feature. | clothing:general
thighlet | Thighlet, the thighlet as the noted anatomy or body feature. | clothing:general
thighs | Thighs visible/emphasised, the thighs as the noted anatomy or body feature. | anatomy:limbs
thin_calves | Calves rendered with narrow width, visibly slender rather than thick or muscular. | body_type
thin_eyebrows | Thin eyebrows, the thin eyebrows as the noted anatomy or body feature. | head:face
thin_legs | Thin legs on the character, the limb or body feature as the noted detail. | anatomy:limbs
thin_thighs | Thighs rendered with narrow width, emphasising slenderness of the legs. | body_type
thorns | Sharp protrusions like plant thorns growing from the body, fantasy anatomy. | anatomy:fantasy
threaded_by_penis | A penis threaded through a character's body, entering one orifice and exiting another. | genitalia:male
throbbing_balls | Testicles visibly pulsing or pulsing against the body, the rhythm the tell. | genitalia:male
throbbing_penis | A pulsating penis indicating intense arousal, rhythmic swell and ease. | genitalia:male
tiger_tail | A tiger-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
tight_clothing | Tight clothing, the tight clothing as the noted anatomy or body feature. | clothing:general
tight_foreskin | A foreskin tight against the glans, pulled snug rather than loose. | genitalia:male
tight_shorts | Tight shorts, the tight shorts as the noted anatomy or body feature. | clothing:general
toeless_thigh_highs | Toeless thigh highs, the toeless thigh highs as the noted anatomy or body feature. | clothing:general
tongue_on_penis | A tongue dragged across or along a penis, oral contact focused on the shaft. | genitalia:male
tongue_showing | Tongue showing, the tongue showing as the noted anatomy or body feature. | head:mouth
topknot | A topknot hairstyle with hair gathered into a high bun on top of the head. | hair:style
topless_anthro | Topless anthro, the topless anthro as the noted anatomy or body feature. | clothing:general
torn_clothing | Torn clothing, the torn clothing as the noted anatomy or body feature. | clothing:general
torn_coat | A torn coat garment, damaged or ripped outerwear the noted variant. | coat:colour
torn_shorts | Torn shorts, the torn shorts as the noted anatomy or body feature. | clothing:general
torn_thighhighs | Torn thighhighs, the torn thighhighs as the noted anatomy or body feature. | clothing:general
torn_wings | Wings damaged, ripped, or holed, flight feathers missing or membrane torn. | anatomy:fantasy
touching_penis | A character's hand making contact with a penis, own or partner's. | genitalia:male
translucent_body | Translucent body, the translucent body as the noted anatomy or body feature. | anatomy:general
translucent_bunnysuit | Translucent bunnysuit, the translucent bunnysuit as the noted anatomy or body feature. | clothing:general
translucent_clothing | Translucent clothing, the translucent clothing as the noted anatomy or body feature. | clothing:general
translucent_hair | Translucent hair partially see-through, the ethereal or magical strands the feature. | hair:colour
translucent_shirt | Translucent shirt, the translucent shirt as the noted anatomy or body feature. | clothing:general
translucent_underwear | Translucent underwear, the translucent underwear as the noted anatomy or body feature. | clothing:general
translucent_wings | Wings you can partially see through, semi-transparent insect or fantasy form. | anatomy:fantasy
transparent_wings | Wings rendered fully see-through transparent, light passing through unimpeded as insect or fantasy form. | anatomy:fantasy
treasure_chest | Treasure chest on the character, the limb or body feature as the noted detail. | anatomy:torso
tree_horns | A tree pair of horns on the character, the horned head anatomy as the feature. | head:general
trench_coat | A trench coat garment, the long belted outerwear with double-breasted front. | coat:colour
trenchcoat | Trenchcoat, the trenchcoat as the noted anatomy or body feature. | clothing:general
tri_tails | Tri tails, the tri tails as the noted anatomy or body feature. | anatomy:tail
tribal_clothing | Tribal clothing, the tribal clothing as the noted anatomy or body feature. | clothing:general
tropical_fish | A tropical fish species character, brightly-coloured warm-water aquarium or reef fish. | species:fish
tucked_penis | A penis tucked back between the legs, hidden rather than presented. | genitalia:male
tufted_fur | Tufted fur with distinct clumps or tufts across the body, the textural variant. | coat:colour
turtleneck_sweater | Turtleneck sweater, the turtleneck sweater as the noted anatomy or body feature. | clothing:general
twintails_(hairstyle) | Twintail hairstyle, the two side-gathered ponytails as the noted feature. | hair:style
twintails_with_hair_base | Twintails with visible hair base, the two gathers built off a small base. | hair:style
twitching_penis | A penis moving involuntarily, small pulses visible along the shaft. | genitalia:male
two-sided_coat | A coat garment with two-sided contrasting design, reversible or split-pattern outerwear. | coat:colour
two-tone_coat | A two-tone coat garment in two contrasting colours, blocked outerwear the variant. | coat:colour
two-tone_fur | Two-tone fur in two contrasting colours across the body, split or banded coat the feature. | coat:colour
two-tone_horns | Two-tone-coloured horns on the character, the colour the noted variant feature. | head:general
two-tone_shorts | Two-tone-coloured shorts on the character, the colour the noted variant feature. | clothing:general
two-tone_skin | Two-tone skin in two contrasting colours across the body, split colouration the variant. | coat:colour
two-tone_sweater | Two-tone-coloured sweater on the character, the colour the noted variant feature. | clothing:general
two-tone_tail | Two-tone-coloured tail on the character, the colour the noted variant feature. | anatomy:tail
two-tone_thighhighs | Two-tone-coloured thighhighs on the character, the colour the noted variant feature. | clothing:general
two-tone_wings | Wings rendered in two distinct colours or tones, split or blocked. | anatomy:fantasy
two_tails | Two tails, the two tails as the noted anatomy or body feature. | anatomy:tail
two_tone_clothing | Two-tone-coloured clothing on the character, the colour the noted variant feature. | clothing:general
two_tone_feathers | Two-tone feathers in two contrasting colours, split or banded plumage the variant. | coat:colour
two_tone_horn | Two-tone-coloured horn on the character, the colour the noted variant feature. | head:general
two_tone_penis | A penis rendered in two distinct colours, split or banded pattern. | genitalia:male
two_tone_scales | Two-tone scales in two contrasting colours, split or banded scaled coat the variant. | coat:colour
two_tone_skin | Two-tone skin in two contrasting colours, split colouration the variant. | coat:colour
two_tone_tail | Two-tone-coloured tail on the character, the colour the noted variant feature. | anatomy:tail
two_tone_thigh_highs | Two-tone-coloured thigh highs on the character, the colour the noted variant feature. | clothing:general
two_tone_vulva | A vulva rendered in two distinct colours, split or banded pattern. | genitalia:female
two_tone_wings | Wings rendered in two distinct colours or tones, split or blocked. | anatomy:fantasy
unaligned_breasts | Unaligned breasts on the character, the breast feature as the noted detail. | anatomy:torso
unbuttoned | Unbuttoned, the unbuttoned as the noted anatomy or body feature. | clothing:general
unbuttoned_shirt | Unbuttoned shirt, the unbuttoned shirt as the noted anatomy or body feature. | clothing:general
underbutt | Lower curve of buttocks, the underbutt as the noted anatomy or body feature. | anatomy:rear
uneven_balls | Testicles asymmetric in size, one visibly larger than the other. | genitalia:male
uneven_horns | A uneven pair of horns on the character, the horned head anatomy as the feature. | head:general
uneven_twintails | Uneven twintails of different lengths or gathers, the asymmetric style the feature. | hair:style
unicorn_horn | A unicorn horn on the character, the species-style head horn as the feature. | head:general
unknown_species | A character of unknown or unidentified species, deliberate taxonomy ambiguity. | species:other
unsheathed | A penis emerged from its sheath, no longer retracted. | genitalia:male
unsheathing | A penis in the motion of emerging from its sheath, partial extension. | genitalia:male
unusual_cum | Ejaculate with unusual properties, colour, texture, or consistency outside the norm. | genitalia:male
unusual_tail | A unusual-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
unusual_wings | Wings of atypical style, material, or placement, general tag for distinctive wing anatomy. | anatomy:fantasy
unworn_coat | An unworn coat garment visible in the scene, the outerwear hung or laid aside. | coat:colour
unworn_eyepatch | Unworn eyepatch, the unworn eyepatch as the noted anatomy or body feature. | clothing:general
unworn_shorts | Unworn shorts, the unworn shorts as the noted anatomy or body feature. | clothing:general
upshorts | Upshorts, the upshorts as the noted anatomy or body feature. | clothing:general
urine_on_chest | Urine on chest on the character, the limb or body feature as the noted detail. | anatomy:torso
veiny_balls | Testicles with prominent surface veins running across the sack. | genitalia:male
veiny_breasts | Veiny breasts on the character, the breast feature as the noted detail. | anatomy:torso
veiny_knot | A canine-style knot with prominent veins across its surface. | genitalia:male
veiny_muscles | Muscles with prominent surface veins running across them, the vascularity central to the visual. | body_type
ventral_scales | Ventral belly scales specifically, the underside scaled pattern as the feature. | coat:colour
vertical-striped_background | A vertical-striped background behind the subjects, vertical bands framing the scene. | coat:pattern
vertical-striped_bikini | Vertical-striped bikini, the vertical-striped bikini as the noted anatomy or body feature. | clothing:general
vertical-striped_clothes | Vertical-striped clothes, the vertical-striped clothes as the noted anatomy or body feature. | clothing:general
vertical-striped_dress | Vertical-striped dress, the vertical-striped dress as the noted anatomy or body feature. | clothing:general
vertical-striped_headwear | Vertical-striped headwear, vertically banded pattern on hat or hood. | coat:pattern
vertical-striped_jacket | Vertical-striped jacket, the vertical-striped jacket as the noted anatomy or body feature. | clothing:general
vertical-striped_kimono | Vertical-striped kimono, the vertical-striped kimono as the noted anatomy or body feature. | clothing:general
vertical-striped_panties | Vertical-striped panties, the vertical-striped panties as the noted anatomy or body feature. | clothing:general
vertical-striped_pants | Vertical-striped pants, the vertical-striped pants as the noted anatomy or body feature. | clothing:general
vertical-striped_pantyhose | Vertical-striped pantyhose, vertically banded sheer legwear, the vertical-striped pantyhose as the noted anatomy or body feature. | coat:pattern
vertical-striped_shirt | Vertical-striped shirt, the vertical-striped shirt as the noted anatomy or body feature. | clothing:general
vertical-striped_shorts | Vertical-striped shorts, the vertical-striped shorts as the noted anatomy or body feature. | clothing:general
vertical-striped_skirt | Vertical-striped skirt, the vertical-striped skirt as the noted anatomy or body feature. | clothing:general
vertical-striped_sleeves | Vertical-striped sleeves, vertically banded fabric on the arms, the vertical-striped sleeves as the noted anatomy or body feature. | coat:pattern
vertical-striped_socks | Vertical-striped socks, the vertical-striped socks as the noted anatomy or body feature. | clothing:general
vertical-striped_thighhighs | Vertical-striped thighhighs, the vertical-striped thighhighs as the noted anatomy or body feature. | clothing:general
vertical-striped_vest | Vertical-striped vest, the vertical-striped vest as the noted anatomy or body feature. | clothing:general
vertical_cloaca | Vertical cloaca, the vertical cloaca as the noted anatomy or body feature. | anatomy:general
very_dark_skin | Very dark skin tone on the visible body, the deepest melanin colouration the feature. | coat:colour
very_long_tail | A very long-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
very_short_hair | Very short hair cropped close to the scalp, the buzz-cut length the noted feature. | hair:colour
vessel_(species) | A Vessel from Hollow Knight, the carapace-wearing void-born species. | species:other
vibrator_in_thighhighs | Vibrator in thighhighs, the vibrator in thighhighs as the noted anatomy or body feature. | clothing:general
vibrator_in_vagina | A vibrator currently inserted in a vagina, visible during use. | genitalia:female
vibrator_on_penis | A vibrator held against or attached to a penis for direct stimulation. | genitalia:male
visibly_trans | Character whose transgender status is explicitly signalled in the image, through scars, anatomy, or clear framing. | gender
volleyball_uniform | Volleyball uniform, the volleyball uniform as the noted anatomy or body feature. | clothing:general
voluptuous_anthro | An anthro character with curvy full-figured build, soft pronounced proportions on species form. | species:other
vulva_blush | Vulva blush, the vulva blush as the noted anatomy or body feature. | head:face
vulva_outline | Vulva outline, the vulva outline as the noted anatomy or body feature. | meta:composition
vulva_piercing | Vulva piercing, the vulva piercing as the noted anatomy or body feature. | clothing:general
vulva_ring | Vulva ring, the vulva ring as the noted anatomy or body feature. | clothing:general
waistcoat | Waistcoat, the waistcoat as the noted anatomy or body feature. | clothing:general
weapon_tail | A weapon-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
wearing_glasses | Wearing glasses, the wearing glasses as the noted anatomy or body feature. | clothing:general
wearing_sunglasses | Wearing sunglasses, the wearing sunglasses as the noted anatomy or body feature. | clothing:general
weasel_tail | A weasel-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
wet_clothing | Wet clothing, the wet clothing as the noted anatomy or body feature. | clothing:general
wet_penis | A penis wet with fluid, sweat, saliva, or other liquid. | genitalia:male
whisker_spots | Whisker spots on the muzzle, the dotted pattern from which whiskers emerge. | coat:pattern
white-tailed_deer | A white-tailed deer species, North American deer with a distinctive white underside tail. | species:cervid
white_balls | Testicles rendered in white, the colour the noted variant. | genitalia:male
white_breasts | White-coloured breasts on the character, the colour the noted variant feature. | anatomy:torso
white_butt | White-coloured butt on the character, the colour the noted variant feature. | anatomy:rear
white_butterfly | A white butterfly visible in the scene, the colour the noted feature of the lepidopteran. | species:insect
white_chest | White-coloured chest on the character, the colour the noted variant feature. | anatomy:torso
white_claws | White-coloured claws on the character, the colour the noted variant feature. | anatomy:limbs
white_clothing | White-coloured clothing on the character, the colour the noted variant feature. | clothing:general
white_coat | A white coat garment worn by the character, white outerwear the noted variant. | coat:colour
white_horn | White-coloured horn on the character, the colour the noted variant feature. | head:general
white_horns | White-coloured horns on the character, the colour the noted variant feature. | head:general
white_nipples | White-coloured nipples on the character, the colour the noted variant feature. | anatomy:torso
white_pawpads | White-coloured pawpads on the character, the colour the noted variant feature. | anatomy:limbs
white_paws | White-coloured paws on the character, the colour the noted variant feature. | anatomy:limbs
white_penis | A penis rendered in white, the colour the noted variant. | genitalia:male
white_sheath | A genital sheath rendered in white, the colour the noted variant. | genitalia:male
white_shorts | White-coloured shorts on the character, the colour the noted variant feature. | clothing:general
white_skin | White skin tone on the visible body, the palest colouration the noted feature. | coat:colour
white_spots | White spots scattered across the coat or skin, the white markings the noted variant. | coat:pattern
white_stripes | White stripes across the coat or skin, the white banded pattern the feature. | coat:pattern
white_sweater | White-coloured sweater on the character, the colour the noted variant feature. | clothing:general
white_tail | White-coloured tail on the character, the colour the noted variant feature. | anatomy:tail
white_tail_tip | White-coloured tail tip on the character, the colour the noted variant feature. | anatomy:tail
white_thigh_highs | White-coloured thigh highs on the character, the colour the noted variant feature. | clothing:general
white_thighhighs | White-coloured thighhighs on the character, the colour the noted variant feature. | clothing:general
white_vulva | A vulva rendered in white, the colour the noted variant. | genitalia:female
white_wings | Wings coloured white, the feather or membrane rendered in pale tone. | anatomy:fantasy
wickerbeast | A fantasy species of horned canine-derived creature originating in the furry fandom. | species:mythical
wide_hipped_anthro | An anthro character with broad feminine hips on the species body. | species:other
wide_hipped_female | Female character with broad hips giving dramatic waist-to-hip ratio, body built around the hip line. | body_type
wide_hipped_gynomorph | Gynomorph character with broad feminine hips offsetting otherwise intersex anatomy. | body_type
wide_hipped_humanoid | A humanoid character with broad feminine hips on the humanoid body. | species:other
wide_hipped_male | Male character with broad, feminine-proportioned hips offsetting otherwise masculine build. | body_type
wide_ponytail | A wide ponytail with the gather spread broadly, the voluminous tail as the feature. | hair:style
wing_boner | Wings erected or puffed up due to arousal, the involuntary reaction as the furry equivalent of a blush. | anatomy:fantasy
wing_brooch | A brooch or pin shaped like a wing worn as accessory. | anatomy:fantasy
wing_claws | Wing claws on the character, the claw feature as the noted detail. | anatomy:limbs
wing_ears | Wing ears on the character, the ear style or colour as the noted feature. | head:ears
wing_hair_ornament | A hair ornament shaped like a wing, feather-styled accessory in the hair. | anatomy:fantasy
wing_ornament | A decorative ornament shaped like a wing attached to clothing or accessory. | anatomy:fantasy
wing_piercing | Wing piercing, the wing piercing as the noted anatomy or body feature. | clothing:general
winged_dragon | A dragon specifically with wings, the winged variant rather than serpentine form. | species:mythical
winged_hat | Winged hat, the winged hat as the noted anatomy or body feature. | clothing:general
winged_helmet | Winged helmet, the winged helmet as the noted anatomy or body feature. | clothing:general
winged_humanoid | A humanoid character with wings, the wings the only non-human feature or one of few. | species:other
winged_shoes | Winged shoes, the winged shoes as the noted anatomy or body feature. | clothing:general
winged_unicorn | A unicorn with wings, alicorn-style combining the two fantasy equines. | species:mythical
wingless_dragon | A dragon specifically without wings, ground-bound or serpentine variant. | species:mythical
wings_of_fire | Reference to the Wings of Fire book series or literal wings made of fire. | anatomy:fantasy
wings_tied | Wings bound together or to the body, restraint preventing their movement or flight. | anatomy:fantasy
wolf_tail | A wolf-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
wool_(fur) | Woolly wool-like fur across the body, the sheep-style coat as the noted variant. | coat:texture
workout_clothing | Workout clothing, the workout clothing as the noted anatomy or body feature. | clothing:general
wrinkled_skin | Wrinkled aged skin across the body, the lined surface as the noted feature. | coat:colour
writing_on_butt | Writing on buttocks on the character, the rear feature as the noted detail. | anatomy:rear
writing_on_chest | Writing on chest on the character, the limb or body feature as the noted detail. | anatomy:torso
year_of_the_dragon | Reference to Spyro Year of the Dragon game or the zodiac Year of the Dragon. | species:mythical
yellow_balls | Testicles rendered in yellow, the colour the noted variant. | genitalia:male
yellow_breasts | Yellow-coloured breasts on the character, the colour the noted variant feature. | anatomy:torso
yellow_butterfly | A yellow butterfly visible in the scene, the colour the noted feature of the lepidopteran. | species:insect
yellow_claws | Yellow-coloured claws on the character, the colour the noted variant feature. | anatomy:limbs
yellow_clothing | Yellow-coloured clothing on the character, the colour the noted variant feature. | clothing:general
yellow_coat | A yellow coat garment worn by the character, yellow outerwear the noted variant. | coat:colour
yellow_feathers | Yellow feathers covering the avian body, yellow plumage the noted variant. | coat:colour
yellow_horn | Yellow-coloured horn on the character, the colour the noted variant feature. | head:general
yellow_horns | Yellow-coloured horns on the character, the colour the noted variant feature. | head:general
yellow_nipples | Yellow-coloured nipples on the character, the colour the noted variant feature. | anatomy:torso
yellow_pawpads | Yellow-coloured pawpads on the character, the colour the noted variant feature. | anatomy:limbs
yellow_penis | A penis rendered in yellow, the colour the noted variant. | genitalia:male
yellow_raincoat | Yellow-coloured raincoat on the character, the colour the noted variant feature. | clothing:general
yellow_scales | Yellow scales covering the reptilian or draconic body, yellow scaled colour the variant. | coat:colour
yellow_shorts | Yellow-coloured shorts on the character, the colour the noted variant feature. | clothing:general
yellow_skin | Yellow skin covering the body, fantasy yellow colouration the noted feature. | coat:colour
yellow_stripes | Yellow stripes across the coat or skin, the yellow banded pattern the feature. | coat:pattern
yellow_sweater | Yellow-coloured sweater on the character, the colour the noted variant feature. | clothing:general
yellow_sweater_vest | Yellow-coloured sweater vest on the character, the colour the noted variant feature. | clothing:general
yellow_tail | Yellow-coloured tail on the character, the colour the noted variant feature. | anatomy:tail
yellow_thighhighs | Yellow-coloured thighhighs on the character, the colour the noted variant feature. | clothing:general
yellow_vulva | A vulva rendered in yellow, the colour the noted variant. | genitalia:female
yellow_wings | Wings coloured yellow, the feather or membrane rendered in yellow tone. | anatomy:fantasy
young_anthro | A young-age anthro character, youth on the species form central to framing. | species:other
young_feral | A young-age feral character, youth on the quadruped form central to framing. | species:other
young_human | A young-age human character, youth on the human form central to framing. | species:other
young_humanoid | A young-age humanoid character, youth on the human-shaped body central to framing. | species:other
younger_anthro | An anthro character who is the younger of an age-paired setup. | species:other
younger_feral | A feral character who is the younger of an age-paired setup. | species:other


================================================================================
MOVED FROM OTHER FILES - 2026-04-15
================================================================================
# Tags reclassified from other tag databases during 2026-04-15 rewrite.
# Merge into the appropriate sections above when convenient.

adolescent | Teenage-range character between child and adult, still developing build and features. | age
adolescent_anthro | An anthro character at adolescent age, teen proportions on the species form. | species:other
anal_hair | Hair around the anus, the body hair at the rear as the noted anatomy feature. | hair:colour
anal_tail | A anal-style tail on the character, the species-specific tail anatomy as the feature. | anatomy:tail
animal_ear_fluff | Animal-style ear fluff, the animal ear fluff as the noted anatomy or body feature. | head:ears
arthropod_abdomen | An arthropod abdomen visible on a character, the segmented insect-style rear body. | species:insect
arthropod_abdomen_genitalia | Arthropod-style genitalia located in the abdomen, insect or spider-style reproductive anatomy. | species:insect
back_tentacles | Tentacles growing from the back of a character, additional limbs mounted to the spine. | anatomy:fantasy
backless_outfit | Outfit exposing the back, the backless outfit as the noted anatomy or body feature. | clothing:general
bag_charm | Bag charm, the bag charm as the noted anatomy or body feature. | clothing:general
bandeau | Bandeau, the bandeau as the noted anatomy or body feature. | clothing:general
bare_pectorals | Bare pectorals on the character, the pec feature as the noted detail. | anatomy:torso
bc_freedom_military_uniform | Bc freedom military uniform, the bc freedom military uniform as the noted anatomy or body feature. | clothing:general
black_bandeau | Black-coloured bandeau on the character, the colour the noted variant feature. | clothing:general
black_coat_(kingdom_hearts) | Black-coloured coat (kingdom hearts) on the character, the colour the noted variant feature. | clothing:general
black_collar | Black-coloured collar on the character, the colour the noted variant feature. | clothing:general
black_facial_hair | Black facial hair on the face, beard or moustache in black as the noted variant. | hair:colour
black_sailor_collar | Black-coloured sailor collar on the character, the colour the noted variant feature. | clothing:general
blaze_(marking) | A blaze marking down the face, vertical contrasting stripe from forehead to nose. | coat:pattern
blue_inner_ear_fluff | Blue-coloured inner ear fluff on the character, the colour the noted variant feature. | head:ears
blue_sailor_collar | Blue-coloured sailor collar on the character, the colour the noted variant feature. | clothing:general
blue_tentacles | Tentacles coloured blue, tentacle anatomy rendered in blue tone. | anatomy:fantasy
bottomless_intersex | Bottomless intersex, the bottomless intersex as the noted anatomy or body feature. | clothing:general
brown_collar | Brown-coloured collar on the character, the colour the noted variant feature. | clothing:general
brown_facial_hair | Brown facial hair on the face, beard or moustache in brown as the noted variant. | hair:colour
brown_markings | Brown-coloured markings across the body, the brown patterned colouration the variant. | coat:pattern
brown_sailor_collar | Brown-coloured sailor collar on the character, the colour the noted variant feature. | clothing:general
butt_markings | Distinct markings on the buttocks, contrasting pattern on the rear the feature. | coat:pattern
caressing_testicles | Slow, stroking touch across testicles, tender rather than gripping. | genitalia:male
catfish | A catfish species character, whiskered bottom-dwelling fish with smooth skinless body. | species:fish
charmander | The Pokemon species Charmander, small orange bipedal dragon with a flame-tipped tail. | species:other
charmeleon | The Pokemon species Charmeleon, the evolved form of Charmander with a fiercer aspect. | species:other
cheek_markings | Distinct markings on the cheeks, contrasting facial pattern the feature. | coat:pattern
cheerleader_outfit | Cheerleader outfit, the cheerleader outfit as the noted anatomy or body feature. | clothing:general
chest_markings | Distinct markings on the chest, contrasting torso pattern the feature. | coat:pattern
circle_facial_mark | Circular facial marking, the circle facial mark as the noted anatomy or body feature. | head:face
clitoral_hood_piercing | Clitoral hood piercing, the clitoral hood piercing as the noted anatomy or body feature. | clothing:general
clothed_intersex | Clothed intersex, the clothed intersex as the noted anatomy or body feature. | clothing:general
collar_ring | Collar ring, the collar ring as the noted anatomy or body feature. | clothing:general
collar_tug | Collar tug, the collar tug as the noted anatomy or body feature. | clothing:general
collared_cape | Collared cape, the collared cape as the noted anatomy or body feature. | clothing:general
collared_capelet | Collared capelet, the collared capelet as the noted anatomy or body feature. | clothing:general
collared_coat | A coat garment with a prominent collar, the structured neckline as the noted variant. | coat:colour
collared_dress | Collared dress, the collared dress as the noted anatomy or body feature. | clothing:general
collared_halterneck | Collared halterneck, the collared halterneck as the noted anatomy or body feature. | clothing:general
collared_jacket | Collared jacket, the collared jacket as the noted anatomy or body feature. | clothing:general
collared_shirt | Collared shirt, the collared shirt as the noted anatomy or body feature. | clothing:general
collared_shrug | Collared shrug, the collared shrug as the noted anatomy or body feature. | clothing:general
collared_vest | Collared vest, the collared vest as the noted anatomy or body feature. | clothing:general
condom_belt | Condom belt, the condom belt as the noted anatomy or body feature. | clothing:general
condom_in_mouth | Condom in mouth, the condom in mouth as the noted anatomy or body feature. | head:face
condom_on_penis | A condom visibly rolled onto a penis during the scene. | genitalia:male
consensual_tentacles | A scene with tentacle involvement where all parties consent, flipping the usual tentacle-rape trope. | anatomy:fantasy
