TAG DATABASE: META, SETTING & CHARACTER
========================================
Total tags: 1434
Categories: 12
Last updated: 2026-02-26

================================================================================
SEX, GENDER & PAIRING
================================================================================
_transformation | A tag indicating a transformation into a specified gender, the gender-shift the focus. | meta:pairing
chip_'n_dale_rescue_rangers | Chip 'n Dale Rescue Rangers | meta:franchise
chips_(food) | Potato chips as food item in the scene, fried snack chips in a bag or bowl. | meta:prop
chocolate_chip_cookie | A chocolate chip cookie visible in the scene, classic round baked treat with chocolate chunks. | meta:prop
choujikuu_yousai_macross | Franchise reference: choujikuu yousai macross | meta:franchise
chucklefish | Franchise reference: chucklefish | meta:franchise
cigarette_holder | A long thin holder for a cigarette, elegant smoking accessory. | meta:prop
classic_chica_(fnaf) | Specific character (FNAF) | meta:character
classic_sonic_(universe) | Franchise reference: classic sonic (universe) | meta:franchise
classy | A classy aesthetic framing the scene, elegance and sophistication in the overall mood. | meta:mood
claw_(weapon) | Claws as weapon, metal finger-blades strapped to the hand. | meta:prop
claw_foot_bathtub | A bathtub with ornate clawfoot supports, vintage bathroom aesthetic. | meta:prop
cloaca_juice | Cloacal fluid | meta:fluid
clothing_bow | A bow decoration on clothing, ribbon tied as accent. | meta:prop
clover_(plant) | A clover plant or leaf visible, three- or four-leaved. | meta:prop
clubstripes | Clubstripes (artist group) | meta:franchise
cockpit | A cockpit interior, pilot's seat and instrument panels framing the vehicle setting. | meta:prop
cocktail_glass | A cocktail glass, the stemmed triangular or coupe glass for mixed drinks. | meta:prop
cocky | A cocky self-assured demeanour, the confidence bordering on arrogance in the expression. | meta:expression
code_geass | Code Geass | meta:franchise
code_geass:_lost_stories | Code Geass: Lost Stories | meta:franchise
cold | A cold environment framing the scene, low temperature as the climate marker. | meta:atmosphere
cold-blooded-twilight | Cold-Blooded-Twilight (artist) | meta:franchise
color_coded | Colour-coded elements across the scene, specific colours signifying meaning or categorisation. | meta:style
color_coded_speech_bubble | Color coded speech bubble | meta:general
color_coded_text | Color coded text | meta:general
color_connection | A colour-connection motif, two characters linked by shared or matching colour palettes. | meta:style
color_edit | A colour-edited version of an existing artwork, hues altered from the original. | meta:style
color_guide | A colour guide reference for the character, palette sheet framing the scheme. | meta:style
color_swatch | Colour swatches visible in the scene or as a reference sheet element. | meta:style
color_timer | A colour-changing timer element, iconographic countdown signalling transformation or danger. | meta:style
color_trace | A colour-trace redraw of an existing image, the outline copied with colour relabelled. | meta:style
colored | Colored | meta:general
colored_bangs | Colored bangs | meta:general
colored_blood | Colored blood | meta:general
colored_extremities | Colored extremities | meta:general
colored_eyelashes | Colored eyelashes | meta:general
colored_fire | Colored fire | meta:general
colored_line_art | Colored line art | meta:general
colored_nails | Colored nails | meta:general
colored_pencil_(artwork) | A finished artwork rendered in coloured pencil medium, pencil-on-paper texture visible. | meta:style
colored_pencil_(medium) | The coloured pencil artistic medium used for the piece, pencil strokes as the texture. | meta:style
colored_sclera | Colored sclera | meta:general
colored_shadow | Colored shadow | meta:general
colored_shoe_soles | Colored shoe soles | meta:general
colored_sketch | Colored sketch | meta:general
colored_speech_bubble | Colored speech bubble | meta:general
colored_tips | Colored tips | meta:general
colored_toenails | Colored toenails | meta:general
colorful | A colourful composition, bright varied colours filling the scene throughout. | meta:style
colorful_background | A colourful background behind the subjects, vibrant varied tones framing the focal figures. | meta:style
colorful_theme | A colourful overall theme framing the piece, vibrance as the aesthetic choice. | meta:style
colorized | A colourised version of a monochrome original, colour added after the fact. | meta:style
command_spell | A command-spell mark or spell used to compel obedience, Fate-franchise-style framing. | meta:supernatural
commanderthings | Specific character | meta:franchise
compass | A compass, either directional navigation tool or drafting tool depending on context. | meta:prop
condom_balloon | A condom inflated like a balloon, stretched with air as gag or prop. | meta:prop
condom_box | A box of condoms visible, the packaging as prop in the scene. | meta:prop
conker's_bad_fur_day | Conker's Bad Fur Day | meta:franchise
convenient_censorship | Convenient object censoring | meta:composition
cookie_run:_kingdom | Cookie run: kingdom | meta:franchise
cool_colored | Cool colored | meta:general
cool_colors | A palette of cool colours, blues, greens, and purples framing the piece's mood. | meta:style
cracked_glass | Cracked glass visible in the scene, fractured pane that hasn't yet shattered. | meta:prop
crescent | A crescent shape present in the scene, curved moon-like silhouette as motif. | meta:prop
crescent_moon | A crescent moon visible in the sky or as motif. | meta:prop
crossover_ship | Crossover ship | meta:general
cube | A cube object in the scene, any solid six-sided shape. | meta:prop
cucumber | A cucumber present as food or improvised sex toy. | meta:prop
cum_in_a_cup | Ejaculate collected in a cup, the vessel holding the load. | meta:prop
cum_in_bowl | Ejaculate collected in a bowl, the vessel holding the load. | meta:prop
cum_on_bed | Ejaculate visible on bed sheets or mattress after sex. | meta:prop
cumulonimbus_cloud | A cumulonimbus cloud visible in the scene, the towering storm-cloud form framing the weather. | meta:atmosphere
damaged | Damaged appearance | meta:state
describing_size | Character describing size | meta:dialogue
destiny_(series) | Franchise/series reference: destiny (series) | meta:franchise
detailed | A highly detailed artwork, fine rendering and careful attention across all elements. | meta:style
detailed_background | A detailed background behind the subjects, fully rendered setting framing the focal figures. | meta:style
devil_horns_(gesture) | The devil-horns rock hand gesture, pinky and index extended while other fingers are tucked. | meta:expression
diagonal-striped_background | A background of diagonal stripes, angled parallel lines behind the subjects. | meta:style
diagonal-striped_bow | A bow with diagonal stripe pattern, angular lines across the ribbon. | meta:prop
diamond_button | A diamond-shaped button fastener on clothing, decorative angular closure. | meta:prop
digitaldomain123 | Digitaldomain123 | meta:general
dispatch | Reference to the Dispatch work or stylistic approach, specific usage context. | meta:style
dollchestra | Reference to the Dollchestra franchise or aesthetic, scene drawing on its style. | meta:style
domi3d | Domi3D (artist) | meta:franchise
double-breasted | A double-breasted garment, two parallel rows of buttons down the front. | meta:prop
double_horizontal_stripe | A double horizontal stripe pattern, two parallel horizontal lines as visual motif. | meta:style
double_vertical_stripe | A double vertical stripe pattern, two parallel vertical lines as visual motif. | meta:style
downscaled | A downscaled version of a larger original, pixel dimensions reduced from source. | meta:style
dragon_ball_(object) | A Dragon Ball sphere as object, the orange crystal ball from the franchise. | meta:prop
dragonair | Pokémon species: dragonair | meta:franchise
dragonborn_(dnd) | Dungeons & Dragons franchise | meta:franchise
dragonite | Pokémon species: dragonite | meta:franchise
drawing | A drawing as the artwork medium, line-work framing the piece's technique. | meta:style
drawing_(action) | The action of drawing depicted in the scene, a character actively sketching. | meta:style
drawing_(object) | A drawing as object in the scene, sketched or finished artwork visible. | meta:prop
drawing_bow | A character drawing a bow, archer pulling the string taut. | meta:prop
drawing_sword | A character drawing a sword from its scabbard, mid-unsheathe. | meta:prop
drawing_tablet | A drawing tablet device visible in the scene, digital art tool as prop. | meta:style
drinking_glass | A drinking glass, clear vessel for beverages on a table or in hand. | meta:prop
dungeons_&_dragons | Dungeons & Dragons franchise | meta:franchise
dungeons_and_dragons | Dungeons & Dragons franchise | meta:franchise
eggplant | An eggplant present in the scene as food or suggestive prop, the purple shape often phallic. | meta:prop
embarrassed | A character visibly embarrassed, flushed cheeks and averted eyes framing the awkward moment. | meta:expression
embarrassing_nudity | A character embarrassed by their own nudity, the exposure uncomfortable rather than enjoyed. | meta:expression
energy_ball | A ball of energy or magical force, conjured sphere as attack or spell. | meta:prop
excalibur_(fate/stay_night) | Fate franchise: excalibur (fate/stay night) | meta:franchise
excalibur_morgan_(fate) | Fate franchise: excalibur morgan (fate) | meta:franchise
excessive_sweat | A character visibly sweating far more than normal, perspiration dripping heavily. | meta:reaction
exercise_ball | A large exercise or yoga ball, inflated sphere for fitness. | meta:prop
explicitly_stated_consent | Tag indicating explicit consent | meta:tag_cleanup
eye_patch | A fabric patch worn over one eye, pirate or injury aesthetic. | meta:prop
eyeball | A disembodied eyeball visible in the scene, horror or fantasy element. | meta:prop
fatal | A scene with a fatal outcome, death as the ending. | meta:reaction
fatal_fury | Fatal fury | meta:franchise
fate/apocrypha | Fate franchise: fate/apocrypha | meta:franchise
fate/extella | Fate franchise: fate/extella | meta:franchise
fate/extra | Fate franchise: fate/extra | meta:franchise
fate/extra_ccc | Fate franchise: fate/extra ccc | meta:franchise
fate/grand_order | Fate franchise: fate/grand order | meta:franchise
fate/grand_order_arcade | Fate franchise: fate/grand order arcade | meta:franchise
fate/hollow_ataraxia | Fate franchise: fate/hollow ataraxia | meta:franchise
fate/kaleid_liner_prisma_illya | Fate franchise: fate/kaleid liner prisma illya | meta:franchise
fate/prototype | Fate franchise: fate/prototype | meta:franchise
fate/prototype:_fragments_of_blue_and_silver | Fate franchise: fate/prototype: fragments of blue and silver | meta:franchise
fate/samurai_remnant | Fate franchise: fate/samurai remnant | meta:franchise
fate/stay_night | Fate franchise: fate/stay night | meta:franchise
fate/strange_fake | Fate franchise: fate/strange fake | meta:franchise
fate/unlimited_codes | Fate franchise: fate/unlimited codes | meta:franchise
fate/zero | Fate franchise: fate/zero | meta:franchise
fate_(series) | Franchise/series reference: fate (series) | meta:franchise
father_(lore) | Father relationship specifically marked as lore-level rather than directly depicted. | meta:lore
father_and_child_(lore) | Father-and-child relationship marked as lore-level framing rather than physically depicted. | meta:lore
father_and_daughter_(lore) | Father-and-daughter relationship marked as lore-level framing rather than physically depicted. | meta:lore
father_and_son_(lore) | Father-and-son relationship marked as lore-level framing rather than physically depicted. | meta:lore
feather_duster | A feather duster cleaning tool, feathers on a stick. | meta:prop
feraligatr | Pokémon species: feraligatr | meta:franchise
fidget_(elysian_tail) | Fidget (Elysian Tail) | meta:franchise
final_fantasy_vii:_advent_children | Final fantasy vii: advent children | meta:franchise
fire_breathing | A character actively breathing fire, flame pouring from their mouth. | meta:supernatural
fire_emblem_fates | Reference to the Fire Emblem Fates game, scene drawing on its characters or setting. | meta:supernatural
fireball | A fireball cast in the scene, sphere of flame hurled as magical attack. | meta:supernatural
fish_(food) | Fish as a food item, cooked or raw on a plate or in preparation. | meta:prop
fisheye | A fisheye lens distortion style, curved perspective warping the edges of the frame. | meta:style
fisheye_lens | A fisheye lens effect on the composition, spherical distortion framing the piece. | meta:style
fishing | A character fishing in the scene, rod in hand with line in water. | meta:prop
fishing_line | A fishing line visible, thin cord extending from rod to water. | meta:prop
fishing_rod | A fishing rod in hand, line and reel visible. | meta:prop
flat_color | Flat colour style without shading or gradients, single tones filling each area. | meta:style
flat_colors | Flat colours throughout the piece, no shading or gradients between fills. | meta:style
fluorescent_lamp | A fluorescent lamp lighting the scene, cold white overhead light. | meta:prop
flying_sweatdrops | Anime-style flying sweat droplets indicating nervousness or exertion, comedic visual shorthand. | meta:reaction
folded | A folded item in the scene, clothing or paper folded neatly. | meta:prop
folded_fan | A folded fan, the accessory collapsed rather than open. | meta:prop
folder | A folder visible in the scene, file-folder prop or organisational element. | meta:style
folding_chair | A folding chair, collapsible seat in the scene, typically temporary or institutional. | meta:prop
folding_fan | A folding hand fan that opens to spread, often ornate. | meta:prop
forced_smile | A visibly forced smile, tension in the expression showing through the attempted pleasantness. | meta:expression
foreshortening | Dramatic foreshortening in the composition, objects or limbs extending toward the viewer compressed. | meta:style
friendship_is_magic | My Little Pony: Friendship is Magic | meta:franchise
fully/fully_submerged | A character fully submerged in liquid, head and body beneath the surface. | meta:setting
fully_submerged | A character fully submerged in liquid, head and body beneath the surface. | meta:setting
furaffinity | FurAffinity (site) | meta:franchise
furball | A ball of fur, the shape the prop or accessory. | meta:prop
furfrou | Pokémon species: furfrou | meta:franchise
furgonomics | Furgonomic clothing design, clothes specifically tailored for furry anatomy like tails and digitigrade legs. | meta:theme
furigana | Japanese furigana reading aids over kanji in the scene's text. | meta:style
furniture | General furniture in the scene, any piece of room furnishing. | meta:prop
furniture_lamp | A lamp built into furniture, integrated lighting fixture as part of a piece. | meta:prop
furromantic_(modeler) | Furromantic (artist) | meta:franchise
fursuit | A fursuit costume worn in the scene, the furry costume framing the character's presentation. | meta:theme
fury_(httyd) | Fury (httyd) | meta:franchise
gae_bolg_(fate) | Fate franchise: gae bolg (fate) | meta:franchise
gassy | A character visibly gassy or bloated, the gastric discomfort or flatulence framing the expression. | meta:expression
gender_symbol | Male or female gender symbols visible in the scene, iconography as element. | meta:prop
genital_fluids | Fluids from genital sources | meta:fluid
glamfur | Glamfur (artist) | meta:franchise
glass | A glass item or surface in the scene, transparent material as the focus. | meta:prop
glass_bottle | A glass bottle, transparent vessel containing liquid or empty. | meta:prop
glass_container | A glass container, any clear vessel in the scene. | meta:prop
glass_cup | A glass cup, transparent drinking vessel rather than plastic or metal. | meta:prop
glass_door | A glass door, transparent panel as doorway between rooms or to outside. | meta:prop
glass_shards | Glass shards scattered in the scene, broken-glass fragments after shattering. | meta:prop
glass_table | A glass-topped table, transparent surface for resting objects or bodies on. | meta:prop
glowing_sword | A sword that emits light, glowing blade as magical weapon. | meta:prop
gold | Gold visible in the scene, whether metal, coin, or treasure. | meta:prop
gold_(metal) | Gold metal specifically, the material rather than the colour. | meta:prop
gold_chain | A gold chain visible, jewelry or ornament made of gold links. | meta:prop
gold_coin | A gold coin visible in the scene, treasure or currency piece in hand or on surface. | meta:prop
golden_apple | A golden apple, mythological or fantasy fruit visible as prop or magical item. | meta:prop
golden_freddy_(fnaf) | Franchise/series reference: golden freddy (fnaf) | meta:franchise
golden_kamuy | Reference to the Golden Kamuy manga or anime, scene drawing on its setting. | meta:prop
golden_week | Reference to Japan's Golden Week holiday period, scene set during the festival run. | meta:prop
grand_scale | A scene framed at grand scale, massive proportions dwarfing characters. | meta:prop
grandchild_(lore) | Grandchild status specifically marked as lore-level rather than explicit depiction. | meta:lore
grandfathered_content | Grandfathered content | meta:admin
grandparent_and_grandchild_(lore) | Grandparent-and-grandchild relationship marked as lore-level framing rather than physically shown. | meta:lore
grass | Grass visible in the scene, ground cover as setting element. | meta:prop
grass_field | A field of grass as the scene's setting, outdoor meadow. | meta:prop
greyscale_with_colored_background | Greyscale with colored background | meta:general
gundam_seed_destiny | Franchise reference: gundam seed destiny | meta:franchise
gundam_seed_freedom | Franchise reference: gundam seed freedom | meta:franchise
gundam_wing | Franchise reference: gundam wing | meta:franchise
gyro_feather | A gyro feather, specific feather shape as accessory or element. | meta:prop
hair_color_connection | Hair colour connection motif, two characters sharing or contrasting hair colours as visual link. | meta:style
hand_on_glass | A hand pressed against a glass pane, palm flattened on the surface. | meta:prop
hanging_plant | A hanging plant decoration, greenery suspended from the ceiling or shelf above. | meta:prop
happy_tears | Tears shed from happiness rather than sadness, emotional overflow of joy. | meta:expression
hard-translated | Hard-translated | meta:admin
hard_translated | Hard translated | meta:admin
has_downscaled_revision | Has downscaled revision | meta:admin
heart_balloon | A heart-shaped balloon, romantic or decorative inflated prop typically red or pink for valentine framing. | meta:prop
heart_button | A heart-shaped button element, decorative heart motif as UI or clothing detail. | meta:style
heavy_breathing | Laboured deep heavy breaths, chest visibly rising and falling with each draw. | meta:reaction
highlights_(coloring) | Highlights in the colouring technique, bright catch-spots on hair, skin, or surfaces. | meta:style
himeragoldtail | HimeraGoldtail (artist) | meta:franchise
holding_arrow | A character gripping an arrow in hand, either nocked or separate from the bow. | meta:prop
holding_axe | A character gripping an axe in hand, blade raised or at rest. | meta:prop
holding_ball | A character gripping a ball in hand, any type of sport or play ball. | meta:prop
holding_balloon | A character gripping a balloon by its string or stem. | meta:prop
holding_baseball_bat | A character gripping a baseball bat, ready to swing or at rest. | meta:prop
holding_basket | A character gripping a basket, woven container in hand. | meta:prop
holding_blanket | A character gripping a blanket, whether wrapping in or holding close. | meta:prop
holding_book | A character gripping a book, open or closed, reading or about to. | meta:prop
holding_bottle | A character gripping a bottle in hand, glass or plastic vessel. | meta:prop
holding_bow_(music) | A character gripping a musical instrument bow, violin or cello bow. | meta:prop
holding_bow_(weapon) | A character gripping a weapon bow, string either drawn or slack. | meta:prop
holding_bowl | A character gripping a bowl in hand, food or empty vessel held. | meta:prop
holding_box | A character gripping a box, carrying the closed container. | meta:prop
holding_briefcase | A character gripping a briefcase, handle in hand at their side. | meta:prop
holding_broom | A character gripping a broom, cleaning or witch-flying framing. | meta:prop
holding_bucket | A character gripping a bucket by the handle, carrying contents or empty. | meta:prop
holding_camera | A character gripping a camera, ready to take a photo or mid-shot. | meta:prop
holding_candle | A character gripping a candle, lit or unlit, in hand. | meta:prop
holding_chain | A character gripping a chain, length of links in hand. | meta:prop
holding_chainsaw | A character gripping a chainsaw, motor idling or running. | meta:prop
holding_coin | A character gripping a coin, small piece of currency in hand. | meta:prop
holding_cup | A character gripping a cup, drinking vessel in hand. | meta:prop
holding_dagger | A character gripping a dagger, the short blade in hand ready or at rest. | meta:prop
holding_flower_pot | A character gripping a flower pot, plant and pot carried together. | meta:prop
holding_fork | A character gripping a fork, utensil poised over food or mid-bite. | meta:prop
holding_frying_pan | A character gripping a frying pan, either cooking or as improvised weapon. | meta:prop
holding_gift | A character gripping a wrapped gift in hand or arms. | meta:prop
holding_glass | A character gripping a glass, drinking vessel in hand. | meta:prop
holding_guitar | A character gripping a guitar, instrument in hand or strapped. | meta:prop
holding_gun | A character gripping a gun, firearm in hand ready or pointed. | meta:prop
holding_hammer | A character gripping a hammer, tool or weapon in hand. | meta:prop
holding_knife | A character gripping a knife, blade in hand for tool, weapon, or kitchen use. | meta:prop
holding_lantern | A character gripping a lantern, light source held at arm. | meta:prop
holding_magnifying_glass | A character gripping a magnifying glass, examining something through it. | meta:prop
holding_map | A character gripping a map, reading or displaying the chart. | meta:prop
holding_marker | A character gripping a marker pen, poised to write or mid-stroke. | meta:prop
holding_microphone | A character gripping a microphone, speaking or singing into it. | meta:prop
holding_microphone_stand | A character gripping a microphone stand by the pole, concert or performance framing. | meta:prop
holding_mirror | A character gripping a mirror, looking into or showing the reflection. | meta:prop
holding_mop | A character gripping a mop, cleaning tool in hand. | meta:prop
holding_mug | A character gripping a mug by the handle, drink inside steaming or cool. | meta:prop
holding_pen | A character gripping a pen, poised to write or mid-stroke. | meta:prop
holding_pencil | A character gripping a pencil, poised to write or sketch. | meta:prop
holding_phone | A character gripping a phone, whether mobile or landline. | meta:prop
holding_pickaxe | A character gripping a pickaxe, mining tool or weapon in hand. | meta:prop
holding_pillow | A character gripping a pillow, whether hugging or about to throw. | meta:prop
holding_pistol | A character gripping a pistol, small firearm in hand. | meta:prop
holding_plant | A character gripping a plant, leafy thing in hand. | meta:prop
holding_plate | A character gripping a plate of food or empty dish. | meta:prop
holding_poke_ball | A character gripping a Poke Ball, about to throw or releasing. | meta:prop
holding_pokeball | Holding pokeball | meta:franchise
holding_pokemon | Franchise reference: holding pokemon | meta:franchise
holding_rifle | A character gripping a rifle, long firearm in hand. | meta:prop
holding_rope | A character gripping a rope, length of cord in hand. | meta:prop
holding_scissors | A character gripping scissors, cutting tool poised over fabric, paper, or hair. | meta:prop
holding_scroll | A character gripping a scroll, rolled document in hand. | meta:prop
holding_shovel | A character gripping a shovel, digging tool or weapon in hand. | meta:prop
holding_sketchbook | Holding sketchbook | meta:general
holding_spear | A character gripping a spear, polearm weapon ready or at rest. | meta:prop
holding_spoon | A character gripping a spoon, utensil in hand for eating or stirring. | meta:prop
holding_staff | A character gripping a staff, long rod in hand as weapon or support. | meta:prop
holding_sword | A character gripping a sword, blade drawn or at rest. | meta:prop
holding_teapot | A character gripping a teapot by the handle, pouring or about to. | meta:prop
holding_tool | A character gripping an unspecified tool in hand, generic instrument framing the scene. | meta:prop
holding_torch | A character gripping a torch, flame atop a stick in hand. | meta:prop
holding_umbrella | A character gripping an umbrella, open overhead or closed. | meta:prop
holding_violin | A character gripping a violin, instrument in hand or at chin. | meta:prop
holding_wand | A character gripping a magic wand, slender focus in hand. | meta:prop
holding_water_gun | A character gripping a water gun toy, aimed or lowered. | meta:prop
holding_whip | A character gripping a whip, handle in hand with lash trailing. | meta:prop
holding_wrench | A character gripping a wrench, tool in hand for turning bolts. | meta:prop
holly_(plant) | A holly plant visible in the scene, Christmas or seasonal framing. | meta:prop
horn_bow | A bow crafted from horn or with horn tips, traditional recurve design. | meta:prop
hotel_transylvania | Hotel transylvania | meta:franchise
huge_bow | A huge ribbon bow as decoration, oversized accent dominating the outfit or accessory. | meta:prop
hugging_book | A character clutching a book against their chest, affectionate or protective hold. | meta:prop
hugging_pillow | A character clutching a pillow against their chest, comfort or embrace gesture. | meta:prop
hybrid_pokemon | Franchise reference: hybrid pokemon | meta:franchise
ice_cube | An ice cube visible in the scene, whether in a drink or on the body. | meta:prop
idolmaster_(classic) | iDOLM@STER classic | meta:franchise
idolmaster_shiny_colors | iDOLM@STER Shiny Colors | meta:franchise
ijiranaide_nagatoro-san | Ijiranaide nagatoro-san | meta:franchise
incest_(lore) | Incestuous relationship specifically marked as lore-level rather than directly depicted in the scene. | meta:lore
incestuous_voyeur_(lore) | An incestuous voyeur scenario marked at lore level rather than explicit visual depiction. | meta:lore
incredibly_absurdres | Extremely high resolution image | meta:format
indirect_incest_(lore) | Indirect incest as lore-level framing, the family relationship central without direct partner contact. | meta:lore
ineffective_censorship | Ineffective censorship | meta:composition
intersex_(lore) | Intersex status specifically marked as lore-level rather than visible anatomy in the scene. | meta:lore
interspecies_reviewers | Interspecies reviewers | meta:franchise
jurassic_park | Jurassic park | meta:franchise
jurassic_world | Jurassic world | meta:franchise
kamitsubaki_studio | Kamitsubaki Studio | meta:franchise
kanshou_&_bakuya_(fate) | Fate franchise: kanshou & bakuya (fate) | meta:franchise
kass_(tloz) | Kass (tloz) | meta:franchise
katia_managan | Katia managan | meta:franchise
kinktober | Kinktober event | meta:seasonal
kinktober_2025 | Kinktober 2025 | meta:seasonal
kitfox-crimson | Kitfox-Crimson (artist) | meta:franchise
kobayashi-san_chi_no_maidragon | Kobayashi-san chi no maidragon | meta:franchise
kodomo_doushi | Kodomo Doushi franchise | meta:franchise
kono_lolicon_domome | Konolicon franchise | meta:franchise
kono_subarashii_sekai_ni_shukufuku_wo! | Konosuba franchise | meta:franchise
laboratory_glassware | Laboratory glassware visible, beakers, flasks, or tubes as scientific props. | meta:prop
large_bow | A large ribbon bow accessory, oversized decorative element on hair or clothing. | meta:prop
large_group | Large group of characters | meta:composition
large_variant_set | Large variant set | meta:admin
lasso | A lasso in the scene, looped rope for roping. | meta:prop
light_fury | Light fury | meta:franchise
little_tail_bronx | Little tail bronx | meta:franchise
little_witch_nobeta | Little witch nobeta | meta:franchise
loose_feather | A single loose feather drifting or resting in the scene. | meta:prop
lord_camelot_(fate) | Fate franchise: lord camelot (fate) | meta:franchise
lord_dominator | Lord dominator | meta:franchise
lustful_gaze | A lust-laden gaze fixed on the subject of desire, hunger visible in the eyes. | meta:expression
macross | Franchise reference: macross | meta:franchise
macross_delta | Franchise reference: macross delta | meta:franchise
macross_frontier | Franchise reference: macross frontier | meta:franchise
magnifying_glass | A magnifying glass, handheld lens for examining detail or starting fires with sun. | meta:prop
mario_plus_rabbids_kingdom_battle | Franchise reference: mario plus rabbids kingdom battle | meta:franchise
mass_effect | Mass effect | meta:franchise
mega_absol | Mega absol | meta:franchise
mega_man_(classic) | Mega man (classic) | meta:franchise
metro-goldwyn-mayer | Metro-goldwyn-mayer | meta:franchise
microphone | A microphone visible in the scene, singing or speaking prop. | meta:prop
microphone_stand | A microphone stand, stage or recording setup element holding a mic at height. | meta:prop
microsoft | Franchise reference: microsoft | meta:franchise
microsoft_paint_(artwork) | A finished artwork rendered in Microsoft Paint, the simple-tool aesthetic visible. | meta:style
microsoft_paint_(medium) | Microsoft Paint as the artistic medium used for the piece. | meta:style
microsoft_windows | Franchise reference: microsoft windows | meta:franchise
microwave | A microwave appliance visible in the scene's kitchen, modern food-heating box. | meta:prop
millennium_cheerleader_outfit_(blue_archive) | Millennium Cheerleader Outfit (Blue Archive) | meta:franchise
mitsudomoe_(shape) | The mitsudomoe triple-comma swirl shape, Japanese traditional symbol as motif. | meta:style
mosaic_censorship | Mosaic censorship | meta:composition
mother_and_child_(lore) | Mother-and-child relationship marked as lore-level framing rather than physically shown. | meta:lore
multicolored_antennae | Multicolored antennae | meta:general
multicolored_bottomwear | Multicolored bottomwear | meta:general
multicolored_bow | Multicolored bow | meta:general
multicolored_face | Multicolored face | meta:general
multicolored_flower | Multicolored flower | meta:general
multicolored_footwear | Multicolored footwear | meta:general
multicolored_hair_bobbles | Multicolored hair bobbles | meta:general
multicolored_halo | Multicolored halo | meta:general
multicolored_legwear | Multicolored legwear | meta:general
multicolored_nails | Multicolored nails | meta:general
multicolored_ribbon | Multicolored ribbon | meta:general
multicolored_topwear | Multicolored topwear | meta:general
multiple_condoms | Multiple condoms | meta:composition
multiple_drawing_challenge | Multiple drawing challenge | meta:composition
multitasking | Character multitasking | meta:composition
muted_color | Muted colour palette, desaturated tones framing the piece's subdued mood. | meta:style
my_little_pony:_friendship_is_magic | My little pony: friendship is magic | meta:franchise
mysticalpha | Mysticalpha (artist) | meta:franchise
mythology | A mythological theme framing the scene, draw from real-world myths as backdrop. | meta:theme
naruto_(classic) | Naruto (classic) | meta:franchise
naruto_shippuuden | Naruto shippuuden | meta:franchise
nervous_sweat | Sweat from anxiety rather than exertion, single drop rolling down. | meta:reaction
nervous_sweating | A character sweating from nerves, anxiety visible in the perspiration. | meta:reaction
netflix | Franchise reference: netflix | meta:franchise
night_fury | Night fury | meta:franchise
nightfaux | Nightfaux (artist) | meta:franchise
nightwing_(wof) | Nightwing (wof) | meta:franchise
nintendo_switch | Franchise reference: nintendo switch | meta:franchise
nipple_tape | Small pieces of tape covering the nipples, minimal coverage censor or fashion. | meta:prop
no_blindfold | Explicitly no blindfold | meta:tag_cleanup
nonbinary_(lore) | Nonbinary gender identity specifically marked at lore level for the character's background. | meta:lore
not_furry | Not furry | meta:tag_cleanup
not_furry_focus | Not furry focus | meta:tag_cleanup
official_alternate_color | Official alternate color | meta:variant
official_alternate_eye_color | Official alternate eye color | meta:variant
official_alternate_hair_color | Official alternate hair color | meta:variant
on_glass | A character standing, lying, or pressed on glass surface. | meta:prop
one-hour_drawing_challenge | One-hour drawing challenge | meta:admin
oversized_breast_cup | A bra cup sized far larger than the breast it contains, loose fit as the focus. | meta:prop
pale_color | Pale colour palette, washed-out light tones framing the piece. | meta:style
parent_and_child_(lore) | Parent-and-child relationship marked as lore-level framing rather than physically depicted. | meta:lore
partially_colored | Partially colored | meta:general
partially_submerged | A character partially submerged in liquid, half above and half below the surface. | meta:setting
partially_translated | Partially translated | meta:admin
passionate | A scene framed with intense passion, strong feelings driving the moment. | meta:reaction
pastel_colors | Pastel colour palette, soft light tones framing the piece's gentle aesthetic. | meta:style
paw_patrol | Paw patrol | meta:franchise
pawn_(chess) | A chess pawn piece visible in the scene, game element. | meta:prop
plant | A plant visible in the scene, general green-growing thing. | meta:prop
plant_pot | A plant pot in the scene, container for growing things. | meta:prop
plant_roots | Visible plant roots in the scene, the underside of growth exposed. | meta:prop
planted | A character rooted or planted in place, magical binding or plant-transformation framing. | meta:setting
planted_sword | A sword driven blade-down into the ground, planted upright. | meta:prop
plants_vs._zombies | Plants vs. zombies | meta:franchise
plants_vs._zombies_heroes | Plants vs. zombies heroes | meta:franchise
pointing_out_the_details | Pointing out the details | meta:composition
poke_ball | A Poke Ball from the Pokemon franchise, red-and-white capture sphere. | meta:prop
poke_ball_(basic) | A standard basic Poke Ball specifically, the common red-and-white style. | meta:prop
poke_ball_print | A pattern featuring Poke Ball imagery on fabric or surface. | meta:prop
poke_ball_symbol | The Poke Ball symbol as motif rather than a physical ball. | meta:prop
poke_ball_theme | A scene themed around Poke Balls, recurring Pokemon-franchise imagery throughout. | meta:prop
pokeball | A Pokeball, the Pokemon franchise capture device for storing creatures. | meta:prop
pokemon_(classic_anime) | Franchise reference: pokemon (classic anime) | meta:franchise
poker_chip | A poker chip, round gambling token visible in the scene. | meta:prop
potato_chips | Potato chips as food item in the scene, fried snack chips in a bag or bowl. | meta:prop
