TAG DATABASE: ACTS & POSITIONS
========================================
Total tags: 1632
Categories: 10
Last updated: 2026-02-26

================================================================================
SEXUAL ACTS
================================================================================
*_sex | Wildcard placeholder for various sex acts when the specific type cannot be determined. | act:sexual
male_masturbation | A male character pleasuring himself, stroking his penis alone in the act. | act:general
male_rimming | A male character performing rimming on another partner, his tongue to their anus. | act:general
male_rimming_female | A male character performing rimming on a female partner, his tongue to her anus. | act:general
male_rimming_male | A male character performing rimming on another male partner, his tongue to the other's anus. | act:general
mating_grip | The bite or tight hold used to pin a receiving partner's neck or shoulder, instinctive and possessive. | act:general
mature_intersex | Intersex character visibly past young adulthood, matured body and features framing the scene. | act:general
mixed-sex_bathing | Bathing scene with characters of different sexes sharing the tub, shower, or onsen. | act:general
mmf_threesome | Threesome with two male characters and one female, the gender split defining the pairing. | act:general
mmm_threesome | A three-male threesome, all three participants male, the all-men configuration framing the scene. | act:general
multi_cumshot | More than one ejaculation captured in the same scene, either sequential climaxes or multiple partners finishing together. | act:climax
multiple_penetration | More than one penetration happening at once, two or more penises or objects inside the same partner. | act:general
muscular_intersex | Intersex character with a heavily muscled build, mixed anatomy wrapped in a powerful frame. | act:general
mutual_oral | Two partners performing oral sex on each other at the same time, the classic 69 configuration. | act:general
non-euclidean_sex | Sexual act performed using impossible geometry, bodies or spaces warping in ways that shouldn't work. | act:general
object_penetration | A non-genital, non-toy object inserted into an orifice, any mundane item pressed into sexual use. | act:general
obscured_penetration | Penetration happening just off-frame or behind a body or object, implied rather than visible. | act:general
obscured_sex | Sexual act mostly hidden behind a body, prop, or composition choice, only partially visible. | act:general
offering_sex | One character explicitly offering their body to another, presenting themselves as available. | act:general
offscreen_sex | Sex implied to be occurring outside the frame, the reactions of visible characters the only evidence. | act:general
older_intersex | Intersex character framed as distinctly older than their partners, age the defining contrast. | act:general
one_sided_climax | Only one partner in a sex scene reaches orgasm, the other left unfinished or deliberately denied. | act:general
oral_invitation | Body language or gesture explicitly inviting a partner to perform or receive oral sex. | act:general
oral_masturbation | A character using their mouth on themselves, autofellatio or self-cunnilingus framing. | act:general
oral_orgasm | Climax reached through oral sex specifically, whether given or received. | act:general
oral_request | A character explicitly asking to give or receive oral sex, verbalising the ask as part of the scene. | act:general
oral_vore | Vore where prey is swallowed down the predator's throat through the mouth, the classic form of vore. | act:general
outside_sex | Sex taking place outdoors, in a yard, field, forest, street, or other exterior setting. | act:general
overweight_intersex | Intersex character with an overweight build, heavier body combined with mixed anatomy. | act:general
painful_penetration | Penetration framed as hurting, either by size, roughness, or lack of preparation. | act:general
paired_penetration | Two penetrations happening simultaneously in a coordinated pair, usually double penetration of one partner. | act:general
pansexual_pride_colors | Pink, yellow, and blue flag colours present in the scene, signalling pansexual identity. | act:general
pastoral_dog | A herding or farm dog character in a rural setting, pastoral framing central to the scene. | act:general
pectoral_cleavage | Visible cleft between pronounced male pectorals, the muscular equivalent of breast cleavage. | act:general
pectoral_focus | Composition centring on a character's chest muscles, pectorals as the visual subject. | act:general
pectoral_grab | A hand seizing a partner's pectoral, squeezing the muscle as if it were a breast. | act:general
pectoral_press | Pectorals pressed together, whether self-squeezed or pressed against another body, emphasising bulk. | act:general
penetrable_sex_toy | A sex toy designed for a penis to be inserted into — a sleeve, stroker, or pocket-style device. | act:general
penile_masturbation | Self-stimulation specifically of the penis, whether by hand, toy, or surface friction. | act:general
penis_kissing | Lips pressed softly to a penis without taking it into the mouth, a reverent or teasing touch. | act:general
perpendicular_paizuri | Paizuri with the penetrating partner positioned at right angles rather than aligned with the torso. | act:general
piledriver_(sex) | Sex position with the receiver upside-down, shoulders on the floor and hips up, the active partner above. | act:general
plug_(sex_toy) | A flared-base sex toy designed to remain seated inside an anus or vagina, typically a butt plug. | act:general
portal_sex | Sex facilitated by a pair of dimensional portals, penetration occurring at a distance through the gateway. | act:general
posexe | Miscategorised or non-descriptive tag, likely a typo or junk entry pending cleanup. | act:general
pregnant_intersex | Intersex character who is visibly pregnant, the pregnancy combined with mixed anatomy. | act:general
pregnant_sex | Sex involving a visibly pregnant partner, the pregnancy foregrounded rather than incidental. | act:general
premature_ejaculation | A partner climaxing far sooner than expected or desired, usually treated humorously or humiliatingly. | act:general
public_masturbation | Self-stimulation performed in a public setting where discovery is possible, the exposure the point. | act:general
reverse_fellatio | Fellatio performed with the receiver lying back and the giver's head upside-down from them. | act:general
reverse_gangbang | Single male character surrounded and used by multiple female or intersex partners, inverse of the standard gangbang. | act:general
riding_animal | A character actually mounted on an animal, clean riding or sexually-loaded depending on the scene. | act:general
riding_bicycle | A character on a bicycle, whether mundane travel or suggestively grinding against the seat. | act:general
riding_dildo | Receiving partner bouncing on a mounted dildo as if riding a partner's penis. | act:general
rimming_male | Oral-anal stimulation performed on a male partner, tongue on his anus. | act:general
rimming_request | A character explicitly asking for oral-anal stimulation, foregrounding consent, anticipation, or power exchange in the ask. | act:general
romantic_sex | Sex framed as emotionally tender, slow pacing, eye contact, and affection over raw intensity. | act:general
same-sex_bathing | Bathing scene with characters of the same sex sharing the tub, shower, or onsen. | act:general
sex_from_behind | Penetration from behind the receiver, whether doggy, spooning, or standing-from-behind configurations. | act:general
sex_in_water | Sex occurring in water — tub, pool, lake, ocean — the liquid environment part of the scene. | act:general
sex_machine | A mechanical device performing the penetration, usually motorised with a mounted dildo or similar attachment. | act:general
sex_on_the_beach | Sex taking place on a beach setting, sand, surf, or shoreline framing the act. | act:general
sex_request | A character explicitly asking another to have sex, the ask rather than the act the scene's focus. | act:general
sex_shot | Composition specifically framed to showcase the sex act, rather than a wider character or scene shot. | act:general
sex_toy_background | Sex toys visible in the background of a scene as decor or implication rather than in use. | act:general
sex_toy_fellatio | Fellatio performed on a sex toy rather than a real penis, treating the shaft like the real thing. | act:general
sexercise | Sexual act framed as a workout or exercise routine, the fitness framing part of the scene. | act:general
sexual_assault | Non-consensual sexual act, the assault framing central rather than ambiguous. | act:general
sexual_barrier_device | Condom, dental dam, or similar barrier visibly used during a sexual act. | act:general
sexual_coaching | One character instructing another mid-act, talking them through technique or pace. | act:general
sexual_competition | Two or more characters competing sexually, whether stamina, skill, or volume as the measure. | act:general
sexual_fight | A physical fight that escalates into or overlaps with sex, aggression and arousal tangled together. | act:general
sexually_suggestive | Scene implying sexual content without explicit activity, innuendo rather than action. | act:general
shaking_orgasm | Climax with visible full-body trembling, the partner unable to hold still through the wave. | act:general
sharing_sex_toy | Two partners using the same toy back and forth, usually a double-ended dildo or passed insertion. | act:general
shimaidon_(sex) | Sandwich-style group position with a central partner penetrated from both ends by two others. | act:general
shortstack_intersex | Intersex character built short and curvy, a shortstack body with mixed anatomy. | act:general
simulated_fellatio | Mimed fellatio on a finger, food, or toy substitute, not actual oral on a penis. | act:general
simultaneous_orgasms | Both partners reaching climax at the same moment, the timing explicit rather than incidental. | act:general
slightly_chubby_intersex | Intersex character with a softly padded build, slightly chubby rather than heavy. | act:general
slit_penetration | Penetration into a non-humanoid genital slit rather than a separate orifice, typical of reptile or avian anatomy. | act:general
smaller_intersex | An intersex character who is the smaller of a sized-pair, the scale relation central. | act:general
sofa_sex | Sex taking place on a couch or sofa rather than a bed, informal and often spontaneous framing. | act:general
spontaneous_ejaculation | A character climaxing without warning or direct stimulation, triggered by arousal alone. | act:general
squatting_cowgirl_position | Cowgirl sex position with the riding partner squatted above, feet planted rather than knees. | act:general
standing_doggystyle | Doggystyle sex with both partners standing, the receiver usually braced forward against a wall or furniture. | act:general
stated_homosexuality | Homosexual orientation explicitly stated in the scene's dialogue or text, not just implied. | act:general
stated_sexuality | Any sexual orientation explicitly stated in the scene's dialogue or text rather than implied. | act:general
stealth_masturbation | Self-stimulation performed while trying to avoid detection, hands hidden or movement concealed. | act:general
stealth_sex | Sexual activity performed in a situation where the participants are trying not to be noticed. | act:general
straddling_paizuri | Paizuri performed with one partner straddling the other's chest, pinning down while breasts work the penis. | act:general
stroking_own_chin | A character drawing fingers along their own chin or jawline, thoughtful or self-satisfied gesture. | act:general
sucking | General tag covering any sucking motion in a scene when no more specific sucking tag fits. | act:general
sucking_tip | Mouth closed around just the head of a penis with suction focused on the tip rather than the shaft. | act:general
surprise_sex | Sex initiated without warning or build-up, one partner moving directly into the act unprompted. | act:general
tail_masturbation | Using a tail, one's own or a partner's, as a masturbation tool, penetrating or stroking with it. | act:general
teamwork_(sexual) | Multiple characters working sexually together with clear coordination, the joint effort the framing. | act:general
testicle_sucking | A partner taking one or both testicles into their mouth, soft suction around the scrotum. | act:general
thefuckingdevil | Meme tag associated with the-fucking-devil artist work, flagged for review rather than descriptive use. | act:general
they_had_lots_of_sex_afterwards_(meme) | Meme caption suggesting ongoing sexual activity continues past the end of the scene. | act:general
thigh_sex | Penis thrust between a partner's pressed-together thighs, the skin clamped around the shaft as substitute. | act:general
tied_up_(nonsexual) | Character bound with rope or cord in a non-sexual context, the restraint plot-driven rather than kinky. | act:general
tongue_out_fellatio | Fellatio performed with the tongue extended well beyond the lower lip, the display the point. | act:general
translucent_penetration | Penetration visible through a translucent or semi-transparent body, the shape of the insertion showing through skin. | act:general
transparent_sex_toy | A sex toy rendered transparent so its insertion or fluid contents are fully visible. | act:general
two-handed_masturbation | Self-stimulation using both hands, either stacked, opposed, or working different parts of the anatomy. | act:general
unwanted_ejaculation | A character ejaculating in circumstances they did not want, framed as coerced, accidental, or humiliating. | act:general
upskirt_sex | Sex occurring under a skirt that remains in place, penetration hidden beneath the hem. | act:general
vaginal_birth | A character actively giving birth vaginally, the moment of crowning or delivery visible. | act:general
vaginal_canal | The interior passage of the vagina, usually highlighted in cutaway, x-ray, or internal-view panels. | act:general
vaginal_fluid_drip | A single bead or stream of vaginal fluid dripping from the vulva or thighs. | act:general
vaginal_fluid_string | A strand of vaginal fluid stretched between vulva and surface, emphasising stickiness and wetness. | act:general
vaginal_fluids_on_ground | Vaginal fluid visibly dripped or pooled on the floor beneath the character. | act:general
vaginal_fluids_on_hand | Vaginal fluid coating a partner's or one's own hand after stimulation. | act:general
vaginal_fluids_puddle | A visible pool of vaginal fluid on the ground or surface, emphasising extreme volume. | act:general
vaginal_masturbation | Self-stimulation focused on vaginal penetration, fingers or toy pushed inside. | act:general
vaginal_object_insertion | A non-penis, non-toy object being pushed into the vagina, from household items to found objects. | act:general
vaginal_orgasm | Climax driven specifically by vaginal penetration rather than clitoral stimulation. | act:general
vaginal_squirting | Ejaculation-like expulsion of fluid from the vulva during climax, whether mild or excessive. | act:general
vaginal_squirting_while_penetrated | Squirting occurring with a penis, toy, or object still inserted, fluid forced out around the insertion. | act:general
vaginal_tugging | Vaginal lips pulled, spread, or drawn open by fingers, a toy, or a partner's grip. | act:general
voluptuous_intersex | Intersex character with a curvy, full-figured build, soft and pronounced proportions wrapped around mixed anatomy. | act:general
wet_dream | Sexual dream leading to nocturnal ejaculation, the character shown asleep and climaxing involuntarily. | act:sexual
wide_hipped_intersex | Intersex character with notably broad hips, the curve framing the mixed genital configuration. | act:general
young_intersex | Young-age intersex character, the youth and mixed anatomy both central to the framing. | act:general


================================================================================
MOVED FROM OTHER FILES - 2026-04-15
================================================================================
# Tags reclassified from other tag databases during 2026-04-15 rewrite.
# Merge into the appropriate sections above when convenient.

absorption_vore | Vore variant where prey is absorbed through skin or body contact rather than swallowed whole. | act:vore
adolescent_on_adolescent | Sexual scenario involving two adolescent-presenting characters, the age framing itself central to the dynamic. | act:dynamics
adult_on_adolescent | Age-gap scenario pairing an adult character with an adolescent-presenting one, the disparity often the scene's tension. | act:dynamics
adult_on_child | Taboo age-gap scenario pairing an adult character with a child character, almost always framed in dark or coercive terms. | act:dynamics
adult_on_young | Scenario pairing an adult character with a generically young character, the age gap foregrounded. | act:dynamics
against_furniture | A character pinned or pushed against a couch, table, wall-stand, or other piece of furniture during sex. | act:position
against_glass | A character pressed against a glass surface with flesh flattening visibly against the pane. | act:position
anthro_dominating_human | Anthro character taking the dominant role over a human partner, the species-swap flipping the usual hierarchy. | act:dynamics
anthro_fingered | An anthro character receiving manual genital or anal stimulation from a partner's fingers. | act:manual
anthro_on_anthro | Sexual or romantic pairing between two anthropomorphic characters, the default mode in most furry fiction. | act:pairing
anthro_on_bottom | Anthro character in the receiving or lower position during sex, typically underneath their partner. | act:position
anthro_on_feral | Sexual or romantic pairing between an anthro character and a fully quadrupedal, non-anthro animal. | act:pairing
anthro_on_taur | Sexual or romantic pairing of an anthro (bipedal furry) with a taur (quadruped body with humanoid torso). | act:pairing
anthro_on_top | Anthro character in the active or upper position during sex, riding or positioned above their partner. | act:position
anthro_penetrating_female | An anthro character penetrating a female partner, the female receiving. | act:penetration
anthro_penetrating_male | An anthro character penetrating a male partner, the male receiving. | act:penetration
anthro_pred | An anthro character in the role of the vore predator, swallowing or absorbing prey. | act:vore
anthro_prey | An anthro character in the role of being swallowed or consumed whole by a larger predator character. | act:vore
ass-to-ass | Two characters positioned rear-to-rear, pressing buttocks together, often sharing a double-ended toy. | act:sexual
ass_clapping | Rhythmic slapping of one buttock against another surface, whether partner's hips, hand, or own thighs. | act:sexual
ass_on_glass | Buttocks deliberately pressed flat against a glass surface so the soft tissue spreads across the pane. | act:position
ass_press | One character pressing their rear against another's body or a surface, grinding or presenting through fabric. | act:position
ass_ripple | Visible shockwave through the flesh of the buttocks caused by impact or sudden movement. | act:sexual
ass_shake | Deliberate rhythmic movement of the buttocks, either as a tease, invitation, or part of a dance. | act:sexual
ass_support | Penetrating partner holding the receiver up by gripping their buttocks, taking their full weight on palms. | act:position
assisted_rape | Non-consensual scene where a third character actively helps the attacker rather than intervening or merely watching. | act:dynamics
auto_penis_lick | A character licking their own penis, not necessarily taking it fully into the mouth as with autofellatio. | act:oral
autotitfuck | A character pressing their own breasts around their own penis, only possible with futa or extreme flexibility. | act:sexual
ball_fondling | A partner's hand cupping, rolling, or stroking the testicles, slow attention rather than strokes. | act:general
ball_suck | Taking one or both testicles into the mouth with slow suction. | act:general
bathing | A character cleaning themselves in a bath, shower, or other water source, body wet and exposed. | act:physical
bestiality_impregnation | Impregnation scenario where the pregnancy results from sex with an actual animal rather than an anthro. | act:sexual
blowing | A character actively exhaling a stream of air from pursed lips, whether at something or on something. | act:physical
blowing_bubble_gum | A character inflating a bubble of chewing gum from their mouth, the bubble visible in the frame. | act:physical
blowing_bubbles | A character releasing soap bubbles through a wand or tube, the bubbles floating in the scene. | act:physical
blowing_smoke | A character exhaling visible smoke or vapour, from a cigarette, pipe, or dragon's breath. | act:physical
bouncing_ass | A character's buttocks moving up and down with visible bounce, whether from motion, impact, or exaggeration. | act:physical
bouncing_balls | Testicles swinging or slapping up and down with motion, typically during vigorous sex. | act:physical
bouncing_breasts | Breasts visibly moving up and down with each motion, the bounce exaggerated for visual emphasis. | act:physical
bouncing_butt | Buttocks moving in a visible bounce with each impact or step, soft tissue in motion. | act:physical
bouncing_penis | An erect penis bobbing visibly with the character's movement, unrestrained motion rather than held. | act:physical
bowing | A character bending forward at the waist or head in formal or submissive bow, hands typically at sides. | act:physical
breast_fondling | A hand squeezing, kneading, or stroking a breast, slow touch rather than a grab. | act:general
breastfeeding | A character nursing from another's breast, whether erotic, domestic, or lactation-kink framed. | act:sexual
breastfeeding_during_sex | A partner nursing from another's breast in the middle of penetration, the two acts layered together. | act:general
breathing | A character's chest visibly rising and falling, breathing rendered as a drawn action rather than implied. | act:physical
breathing_fire | A character exhaling a stream of fire, typically a dragon or similar creature mid-breath attack. | act:physical
breathing_noises | Audible breath sounds called out in the scene, heavy or laboured panting as part of the action. | act:physical
breed | General tag for breeding scenarios, emphasising the intent or act of impregnation rather than casual sex. | act:sexual
breeding_slave | Character kept specifically to be bred repeatedly, framed as property rather than partner. | act:general
butt_crush | A character sitting or slamming their rear onto another character or object, using weight to crush them. | act:sexual
butt_jiggle | Visible wobble through the flesh of the buttocks after impact, motion, or release. | act:physical
butt_ripples | Shockwaves spreading through the flesh of the buttocks after contact, rings of flesh in motion. | act:physical
butt_slap | An open palm striking a buttock with force, the impact reddening skin or causing a ripple. | act:physical
butt_smother | A character's buttocks pressed over another's face, cutting off air and dominating through weight. | act:sexual
butt_sniffing | A character deliberately bringing their nose to a partner's rear and breathing in the scent. | act:worship
butt_squish | Buttocks being pressed flat or deformed by hands, surfaces, or another body pressing into them. | act:physical
butt_worship | Extended reverent attention paid to a partner's buttocks, with kisses, licks, or worshipful handling. | act:worship
buttjob | Penis pressed between a partner's buttocks and stroked by the motion of the cheeks, the anal equivalent of paizuri. | act:general
buttplug_insertion | A butt plug being pushed into or seated in a partner's anus, either as foreplay or to stay in. | act:general
cheating_(relationship) | Sexual scenario built on a character breaking fidelity to an off-screen partner, the betrayal framing the stakes. | act:dynamics
cheating_wife | A partnered female character having sex with someone other than her committed partner, often a deliberate cuckold dynamic. | act:dynamics
chewing | A character visibly working jaw and tongue to chew food or another object in their mouth. | act:physical
chewing_gum | A character actively chewing gum, jaw working and often with attitude framing the action. | act:physical
child_carry | An adult character carrying a child character in arms, on a hip, or on shoulders. | act:physical
child_on_child | Taboo scenario depicting two child characters together, the age framing central rather than incidental. | act:dynamics
choke_hold | A hand or arm wrapped firmly around a partner's throat, applying pressure or control. | act:physical
chokehold | A hand or arm wrapped firmly around a partner's throat, applying pressure or control. | act:physical
cocked_hip | Weight shifted onto one leg with the opposite hip jutting outward, a classic provocative standing pose. | act:position
collaborative_titfuck | Two partners pressing their breasts together around one penis, stroking up and down in tandem. | act:general
color_contrast | Scene built on stark difference between two colours — dark against light, hot against cold. | act:general
comedy_central | Comedy-framed sexual scene with gag pacing and humour rather than intensity or intimacy. | act:general
cum_ballooning | Fantasy exaggeration where semen volume inflates an orifice or belly like a filled balloon, far beyond anatomical possibility. | act:climax
cum_bubble | A pocket of cum visibly swelling from an orifice, mouth, or nose, often as an exaggerated moment during climax. | act:climax
cum_collecting | Deliberate gathering of ejaculate into a container, onto a surface, or in a partner's cupped hands after climax. | act:climax
cum_covered | A character visibly coated in ejaculate across face, body, or both, as if drenched rather than merely marked. | act:climax
cum_dumpster | Degrading framing of a character as a disposable vessel for multiple partners' cum, repeatedly filled and ignored. | act:climax
cum_everywhere | Ejaculate distributed across surfaces, clothing, and multiple body areas in quantities that imply chaos or excess. | act:climax
cum_explosion | Exaggerated, high-volume ejaculation that bursts outward with visible force, often used for comedic or fantasy effect. | act:climax
cum_expulsion | Cum being forcibly pushed out of an orifice, whether by contraction, penetration, or a partner's deliberate effort. | act:climax
cum_from_mouth | Semen visibly leaking or dribbling from a character's mouth after it has been deposited there. | act:climax
cum_in_cloaca | Internal ejaculation into a partner's cloaca, the single multi-purpose opening found in reptiles, birds, and some anthro anatomies. | act:climax
cum_in_container | Ejaculation directed into a bottle, jar, cup, or other vessel, often to preserve, display, or measure the load. | act:climax
cum_in_own_mouth | A character ejaculating into their own mouth, either by self-fellatio, bending, or an exaggerated arc. | act:climax
cum_in_self | A character ejaculating into their own body, whether through self-penetration, autofellatio, or other self-directed means. | act:climax
cum_in_slit | Ejaculation deposited into a non-humanoid genital slit, typical of reptilian, avian, or other anthro anatomies. | act:climax
cum_in_throat | Semen released directly down a partner's throat during deep oral sex, usually at full insertion. | act:climax
cum_in_uterus | Internal ejaculation reaching the uterus, emphasised for impregnation scenes or extreme depth fantasy. | act:climax
cum_on_ear | Ejaculate landing on or across an ear, especially prominent on anthro characters with large or protruding ears. | act:climax
cum_on_eyewear | Cum landing on a character's glasses, goggles, or visor, smearing the lenses or dripping off the frames. | act:climax
cum_on_food | Ejaculation onto edible items, combining food play with the scene's sexual content. | act:climax
cum_on_ground | Ejaculate landing on the floor, dirt, or other surface rather than a body, emphasising spill, mess, or waste. | act:climax
cum_on_hand | Ejaculate landing on a partner's or one's own hand, either from direct contact, catching, or passive splash. | act:climax
cum_on_head | Ejaculate delivered to a partner's head or hair, rather than specifically the face, covering the crown or scalp. | act:climax
cum_on_legwear | Semen visible on stockings, tights, socks, or other leg-covering garments, usually staining the fabric. | act:climax
cum_on_male | Ejaculate specifically shown covering a male character, whether as recipient of another's climax or his own. | act:climax
cum_on_neck | Ejaculate landing on the neck or throat, often streaking down toward the collarbone or chest. | act:climax
cum_on_own_face | A character's own ejaculate landing across their face, usually from an exaggerated arc or deliberate positioning. | act:climax
cum_on_partner | Ejaculate visibly deposited onto a partner's body, unspecified area, as the defining finish to the act. | act:climax
cum_on_perineum | Ejaculate landing on the skin between genitals and anus, often pooling there during certain positions. | act:climax
cum_on_self | A character covered in their own ejaculate, typically after masturbation or self-directed climax. | act:climax
cum_on_shoulder | Ejaculate landing on a shoulder, often a stray shot during face- or chest-focused finishes. | act:climax
cum_on_wall | Ejaculate striking a wall or vertical surface behind the partners, often a visible streak or splatter. | act:climax
cum_pooling | Ejaculate gathering in a visible puddle on skin, floor, or other surface after finishing. | act:climax
cum_request | A partner explicitly asking to be cum on, in, or with, vocalising the desired finish as part of the scene. | act:climax
cum_splatter | Ejaculate dispersed in a wide scattered pattern rather than a single arc or pool, usually across multiple surfaces. | act:climax
cum_spurt | A single visible jet of ejaculate caught mid-flight as it leaves the penis. | act:climax
cum_strand | A thin connecting line of semen stretched between two surfaces, such as from mouth to penis or body to body. | act:climax
cum_taste | Emphasis on the flavour of semen in a partner's mouth, often paired with a pulled-face or savoured reaction. | act:climax
cum_vore | Vore variant where the prey is shrunk or transformed into cum and swallowed or ejaculated. | act:general
cum_while_chaste | Climax achieved while wearing or locked in a chastity device, usually ruined, forced, or prostate-triggered. | act:climax
cumdrip | Semen slowly leaking out of an orifice after the act, the classic slow-drip visual of a filled partner. | act:climax
cumdump | A partner repeatedly filled with ejaculate from one or many sources, framed as a vessel kept for that purpose. | act:climax
dominant_intersex | Intersex character in the dominant role of the scene, mixed anatomy paired with controlling behaviour. | act:general
dual_holding | Two characters each holding a third partner simultaneously, or two simultaneous holds being applied to one receiver. | act:position
ejaculation | General tag for the visible release of semen, whether spurting, leaking, or internal. | act:general
explicitly_stated_nonconsent | Scene where the receiver explicitly says no or refuses in dialogue, the nonconsent textual rather than ambiguous. | act:general
fatal_vore | Vore scene where the prey is consumed rather than safely released, digestion implied or shown. | act:general
father_and_child | Scene framed around a father and his child together, the familial relation central to the composition. | act:position
father_penetrating_son | Taboo scenario with a father character actively penetrating his son character. | act:position
forced_anal | Non-consensual or coerced anal penetration, the force the framing rather than a technique. | act:general
guided_breast_grab | One character taking another's hand and placing it on their own breast, inviting rather than waiting for the touch. | act:position
handles_on_hips | Penetrating partner grips the receiver's hips like handles, using them for leverage and rhythm control. | act:position
head_between_thighs | A character's head nestled between another's thighs, usually positioned for oral sex. | act:position
holding | General tag for a character gripping something or someone with hands, when no more specific tag fits. | act:physical
holding_above_head | A character raising an object or partner above the top of their own head, arms extended upward. | act:physical
holding_animal | A character cradling, lifting, or carrying an animal in their arms or hands. | act:physical
holding_another | A character's hands or arms around another character, supporting or controlling them. | act:physical
holding_another's_foot | A character grasping a partner's foot, whether for play, worship, or positioning during sex. | act:physical
holding_another's_wrist | A character gripping one of a partner's wrists, whether firm or restraining. | act:physical
holding_another's_wrists | A character gripping both of a partner's wrists, usually pinning them together above or behind. | act:physical
holding_baton | A character carrying a baton, whether police truncheon, conductor's stick, or relay baton. | act:physical
holding_beachball | A character holding a beach ball, the playful summer prop in their hands or against their body. | act:physical
holding_bell | A character gripping a bell, either dangling or raised to ring, handle in hand. | act:physical
holding_beverage | A character holding a drink in hand, cup, glass, bottle, or can visible. | act:physical
holding_binoculars | A character with binoculars in hand or raised to their eyes, watching or spying. | act:physical
holding_both_thighs | Hands gripping both of another character's thighs, typically spreading or controlling them open. | act:physical
holding_bouquet | A character gripping a bouquet of flowers, romantic or ceremonial framing. | act:physical
holding_branch | A character gripping a tree branch, whether broken off, for support, or as improvised weapon. | act:physical
holding_breath | A character visibly holding their breath, cheeks puffed or body still with no exhale. | act:physical
holding_brush | A character with a brush in hand, whether paintbrush, hairbrush, or cleaning brush. | act:physical
holding_burger | A character gripping a hamburger with both hands or one, mid-bite or pre-bite. | act:physical
holding_cake | A character holding a cake or slice, whether displaying it, offering it, or about to eat. | act:physical
holding_calligraphy_brush | A character gripping a traditional calligraphy brush, often mid-stroke or poised above paper. | act:physical
holding_can | A character gripping a metal can, whether beverage, food, or spray container. | act:physical
holding_candy | A character with candy in their hand, wrapped or unwrapped, about to eat or offering. | act:physical
holding_candy_apple | A character holding a candy or caramel apple on a stick, fair-style treat in hand. | act:physical
holding_cane | A character gripping a cane, whether walking stick, ornamental prop, or corrective implement. | act:physical
holding_card | A character holding a card, playing card, greeting card, or business card. | act:physical
holding_carrot | A character gripping a carrot, whether food, joke prop, or improvised sex toy. | act:physical
holding_cellphone | A character with a mobile phone in hand, older-style cellular rather than smartphone. | act:physical
holding_chocolate | A character holding a chocolate bar, truffle, or other chocolate confection. | act:physical
holding_chopsticks | A character gripping chopsticks, poised over food or mid-meal. | act:physical
holding_cigar | A character gripping a cigar in hand or between fingers, lit or unlit. | act:physical
holding_cigarette | A character holding a cigarette between fingers or lips, lit or about to light. | act:physical
holding_clipboard | A character carrying a clipboard, typically authoritative or clinical framing. | act:physical
holding_club | A character gripping a club-shaped weapon, wooden or improvised bludgeoning tool. | act:physical
holding_comb | A character with a comb in hand, whether grooming themselves or someone else. | act:physical
holding_condom | A character gripping a condom package or unrolled sheath, obvious sexual framing. | act:physical
holding_container | A character carrying a generic container, box, bin, or receptacle. | act:physical
holding_controller | Character holding a game controller during the scene, often mid-session and being interrupted sexually. | act:general
holding_cookie | A character holding a cookie, treat in hand mid-bite or about to eat. | act:physical
holding_cotton_candy | A character gripping a fluff of cotton candy on its paper stick or cone. | act:physical
holding_crepe | A character holding a folded crepe, dessert or savoury French-style pancake in hand. | act:physical
holding_cross | A character gripping a cross, whether religious symbol, tombstone prop, or weapon. | act:physical
holding_crossbow | A character gripping a crossbow, either ready to fire or resting against the shoulder. | act:physical
holding_crowbar | A character gripping a crowbar, tool or improvised weapon in hand. | act:physical
holding_detached_head | A character gripping a severed head, horror or dark-fantasy framing. | act:physical
holding_doll | A character gripping a doll, whether toy, effigy, or substitute for affection. | act:physical
holding_donut | A character holding a donut, ring pastry gripped or on a finger. | act:physical
holding_drink | A character with a drink in hand, cup, glass, bottle, or mug visible. | act:physical
holding_drumsticks | A character gripping drumsticks, poised over drums or in motion mid-beat. | act:physical
holding_dumbbell | A character gripping a dumbbell, mid-exercise or posed with the weight raised. | act:physical
holding_egg | A character holding an egg, whether edible food, hatching-prop, or fantasy-sized. | act:physical
holding_envelope | A character gripping an envelope, letter inside, often mid-delivery or about to open. | act:physical
holding_face | A character cradling another's face in their hand or hands, intimate or controlling framing. | act:physical
holding_fan | A character holding a folded or open fan, whether paper, electric, or weaponised. | act:physical
holding_feather | A character gripping a feather, whether for tickling, writing, or as a prop. | act:physical
holding_fireworks | A character gripping fireworks in hand, lit or about to set off. | act:physical
holding_fishing_rod | A character gripping a fishing rod, line cast or poised to cast. | act:physical
holding_flag | A character gripping a flag, whether planted, waved, or draped as a banner. | act:physical
holding_flashlight | A character gripping a flashlight, beam on and pointed, often searching or menacing framing. | act:physical
holding_flask | A character gripping a flask, whether hip flask, alchemical, or laboratory vessel. | act:physical
holding_flute | A character gripping a flute, instrument raised to lips or held at rest. | act:physical
holding_food | A character holding food in their hands, general tag when no specific food tag fits. | act:physical
holding_fruit | A character gripping a piece of fruit, edible or as a prop, often suggestively framed. | act:physical
holding_game_controller | Character holding a game controller during the scene, often mid-session and being interrupted sexually. | act:general
holding_gem | A character gripping a gemstone, cut jewel, or magic crystal in hand. | act:physical
holding_glowstick | A character gripping a glowstick, bent and glowing as party or rave prop. | act:physical
holding_gohei | A character gripping a gohei, Shinto ritual wand with paper streamers. | act:physical
holding_hair_dryer | A character gripping a hair dryer, mid-styling or about to use. | act:physical
